ref_persistent:string,ref_dynamic:string,ref_link:string,invoke_kind:INT,pers_icon:string,dyn_icon:string,datatype:INT,ref_desc:string
|null|,|onkeypress|,|/workshop/author/dhtml/reference/events/onkeypress.htm|,8,|null|,|/workshop/graphics/event.gif|,1,|Fires when the user presses an alphanumeric key.|
|null|,|onkeyup|,|/workshop/author/dhtml/reference/events/onkeyup.htm|,8,|null|,|/workshop/graphics/event.gif|,1,|Fires when the user releases a key.|
|null|,|onlosecapture|,|/workshop/author/dhtml/reference/events/onlosecapture.htm|,8,|null|,|/workshop/graphics/event.gif|,1,|Fires when the &lt;BODY&gt; loses the mouse capture.|
|null|,|onmousedown|,|/workshop/author/dhtml/reference/events/onmousedown.htm|,8,|null|,|/workshop/graphics/event.gif|,1,|Fires when the user clicks the &lt;BODY&gt; with either mouse button.|
|null|,|onmousemove|,|/workshop/author/dhtml/reference/events/onmousemove.htm|,8,|null|,|/workshop/graphics/event.gif|,1,|Fires when the user moves the mouse over the &lt;BODY&gt;.|
|null|,|onmouseout|,|/workshop/author/dhtml/reference/events/onmouseout.htm|,8,|null|,|/workshop/graphics/event.gif|,1,|Fires when the user moves the mouse pointer outside the boundaries of the &lt;BODY&gt;.|
|null|,|onmouseover|,|/workshop/author/dhtml/reference/events/onmouseover.htm|,8,|null|,|/workshop/graphics/event.gif|,1,|Fires when the user moves the mouse pointer into the &lt;BODY&gt;.|
|null|,|onmouseup|,|/workshop/author/dhtml/reference/events/onmouseup.htm|,8,|null|,|/workshop/graphics/event.gif|,1,|Fires when the user releases a mouse button while the mouse is over the &lt;BODY&gt;.|
|null|,|onpaste|,|/workshop/author/dhtml/reference/events/onpaste.htm|,8,|null|,|/workshop/graphics/event.gif|,1,|Fires on the target object when the user pastes data, transferring the data from the system clipboard to the document.|
|null|,|onpropertychange|,|/workshop/author/dhtml/reference/events/onpropertychange.htm|,8,|null|,|/workshop/graphics/event.gif|,1,|Fires when a property changes on the &lt;BODY&gt;.|
|null|,|onreadystatechange|,|/workshop/author/dhtml/reference/events/onreadystatechange.htm|,8,|null|,|/workshop/graphics/event.gif|,1,|Fires when the state of &lt;BODY&gt; has changed.|
|null|,|onscroll|,|/workshop/author/dhtml/reference/events/onscroll.htm|,8,|null|,|/workshop/graphics/event.gif|,1,|Fires when the user repositions the scroll box in the scroll bar on the &lt;BODY&gt;.|
|null|,|onselectstart|,|/workshop/author/dhtml/reference/events/onselectstart.htm|,8,|null|,|/workshop/graphics/event.gif|,1,|Fires when the &lt;BODY&gt; is being selected.|
