ref_persistent:string,ref_dynamic:string,ref_link:string,invoke_kind:INT,pers_icon:string,dyn_icon:string,datatype:INT,ref_desc:string
|COLOR|,|color|,|/workshop/author/filter/reference/properties/color.htm|,6,|/workshop/graphics/attribute.gif|,|/workshop/graphics/prop_rw.gif|,8,|Sets or retrieves the value of the color applied with the filter.|
|null|,|enabled|,|/workshop/author/filter/reference/properties/enabled.htm|,6,|null|,|/workshop/graphics/prop_rw.gif|,11,|Sets or retrieves whether the filter is currently enabled.|
|OFFX|,|offX|,|/workshop/author/filter/reference/properties/offX.htm|,6,|/workshop/graphics/attribute.gif|,|/workshop/graphics/prop_rw.gif|,22,|Sets or retrieves the offset of the drop shadow from the visual object, along the x-axis.|
|OFFY|,|offY|,|/workshop/author/filter/reference/properties/offY.htm|,6,|/workshop/graphics/attribute.gif|,|/workshop/graphics/prop_rw.gif|,22,|Sets or retrieves the offset of the drop shadow from the visual object, along the y-axis.|
|POSITIVE|,|positive|,|/workshop/author/filter/reference/properties/positive.htm|,6,|/workshop/graphics/attribute.gif|,|/workshop/graphics/prop_rw.gif|,11,|Sets or retrieves whether the filter creates a drop shadow from the nontransparent pixels of the object.|
